epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,800.242,1.17989,1.2145,0.028,0.939,1,0.99122,0.78838,0.8375,0.29601,0.02726,3.75337e-05,3.75337e-05,3.75337e-05
136,805.594,1.23606,1.15638,0.02932,0.95233,0.99734,0.99069,0.78089,0.86695,0.30607,0.02834,3.4227e-05,3.4227e-05,3.4227e-05
137,812.275,1.15032,1.05609,0.0263,0.95309,0.98782,0.98878,0.76891,0.88871,0.31452,0.02917,3.11268e-05,3.11268e-05,3.11268e-05
138,819.408,1.20863,1.16499,0.02796,0.94585,0.9963,0.98982,0.76477,0.89657,0.31147,0.02953,2.82345e-05,2.82345e-05,2.82345e-05
139,825.274,1.18994,1.1685,0.02814,0.94354,0.96141,0.98681,0.7588,0.91305,0.32553,0.03012,2.55513e-05,2.55513e-05,2.55513e-05
140,832.084,1.18372,1.15606,0.02809,0.94979,0.98469,0.98897,0.76506,0.90372,0.3105,0.02983,2.30784e-05,2.30784e-05,2.30784e-05
141,856.548,0.90701,0.76048,0.02868,0.8695,0.95681,0.97297,0.76453,0.86025,0.36481,0.02787,2.08169e-05,2.08169e-05,2.08169e-05
142,873.7,0.87954,0.73181,0.02882,0.94585,0.92949,0.97124,0.76525,0.85148,0.37625,0.0275,1.87678e-05,1.87678e-05,1.87678e-05
143,886.18,0.94725,0.71266,0.02973,0.90079,0.96815,0.96631,0.76724,0.85405,0.38112,0.02762,1.6932e-05,1.6932e-05,1.6932e-05
144,902.44,0.97527,0.7626,0.03037,0.90341,0.96429,0.96758,0.75766,0.87126,0.3843,0.02831,1.53102e-05,1.53102e-05,1.53102e-05
145,919.303,0.87909,0.72781,0.02799,0.89057,0.961,0.96986,0.75892,0.87595,0.37911,0.02865,1.39032e-05,1.39032e-05,1.39032e-05
146,937.73,0.93,0.68517,0.02923,0.92677,0.94229,0.9662,0.75944,0.87376,0.38552,0.02866,1.27117e-05,1.27117e-05,1.27117e-05
147,952.135,0.91741,0.68022,0.02813,0.93282,0.92305,0.9713,0.7622,0.87231,0.37863,0.02856,1.1736e-05,1.1736e-05,1.1736e-05
148,957.335,0.92119,0.73701,0.0285,0.88919,0.97619,0.97194,0.76529,0.87422,0.37131,0.02864,1.09768e-05,1.09768e-05,1.09768e-05
149,962.634,0.86262,0.63862,0.02676,0.88491,0.94503,0.96747,0.76436,0.85396,0.3816,0.02775,1.04342e-05,1.04342e-05,1.04342e-05
150,967.912,0.91393,0.65255,0.02787,0.92493,0.94048,0.97222,0.75969,0.86799,0.37011,0.02822,1.01086e-05,1.01086e-05,1.01086e-05
